Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Military,2,2,18,0.9797953337430954
Military Conflict,1,2,3,0.9464767009019852
Military Conflict,2,2,12,0.9683064311742783
Mixed Martial Arts,1,2,0,0.8844813898205757
Mixed Martial Arts,2,2,11,0.9293940633535385
Model,1,2,2,0.7450692102313041
Model,2,2,13,0.9732006698846817
Monarch,1,2,0,0.835940158
Monarch,2,2,20,0.9782486736774445
Moss,1,2,1,0.7059746831655502
Moss,2,2,16,0.916307059
Mountain,1,2,0,0.7970331877470016
Mountain,2,2,12,0.9757114946842194
Museum,1,2,1,0.7551147475838661
Museum,2,2,0,0.9750270038843155
Music Festival,1,2,3,0.8774397552013398
Music Festival,2,2,4,0.9711059421300888
Music Genre,1,2,1,0.9110975503921509
Music Genre,2,2,15,0.9709408491849899
Musical,1,2,5,0.8572759479284286
Musical,2,2,0,0.9776775687932968
Mythological Figure,1,2,3,0.8537339091300964
Mythological Figure,2,2,15,0.9050463527441025
NASCAR Driver,1,2,0,0.8692716479301452
NASCAR Driver,2,2,13,0.8935766309499741
Netball,1,2,1,0.664227033
Netball,2,2,17,0.9655534654855729
Newspaper,1,2,0,0.740569893
Newspaper,2,2,22,0.9807988107204437
Noble,1,2,1,0.7872667968273163
Noble,2,2,4,0.8927980124950409
Olympic Event,1,2,3,0.8690313667058944
Olympic Event,2,2,0,0.7764162644743919
Painter,1,2,2,0.8459102600812912
Painter,2,2,14,0.972561777
Philosopher,1,2,2,0.864591971
Philosopher,2,2,0,0.9358108431100846
Photographer,1,2,1,0.7953659191727638
Photographer,2,2,11,0.9770754039287567
Planet,1,2,1,0.6904914140701294
Planet,2,2,3,0.9706093072891235
Play,1,2,3,0.903686523
Play,2,2,16,0.9615086138248443
Playboy Playmate,1,2,2,0.8655202612280846
Playboy Playmate,2,2,0,0.721548505
Poem,1,2,2,0.8275965064764023
Poem,2,2,5,0.9701197266578674
Poet,1,2,0,0.8701832622289658
Poet,2,2,3,0.9602661341428756
